ORIGIN,,,,,,,,,,STATUS,,,,,DESCRIPTION AND CATALOG OF THE RULE,,,,,,MAIN DATA INFORMATION,,,,,,,,,,,TECHNICAL INFORMATION,,,,,,,,,,,,,,,,,,,,"Modificado (cambiado color a amarillo) --> NO TOCAR ARRASTRAR FORMULA
Nueva versión en verde (ajustar MMRule ""0N"")--> (Normativa de repositorios de configuraciones y jobs - 3.2 )",,,,,Extra info C360,,,Revision Final-WIP,,nueva version en verde,,,,
Local,,,,,,,,,C360-CS-0451,FINISHED,DELIVERED,,4Q21,,3.5-Checking the value of the data in the catalog (Value against catalog),,NO,,"Este campo debe tener alguno de los valores censados en su catálogo:
C529","This field must have one of the values ​​listed in your catalog:
C529",g_person_role_type,,,,,,t_knfa_non_financial_assets,,,,,,,,,N/A,C529,N/A,,,,,,,N/A,FALSE,,GL_DOM_t_knfa_non_financial_assets_3.5_002,NO CHANGES,,15.1.0,KNFA_non-financial-assets_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/knfa-gl-hmm-qlt-nonfinancialassetsmrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/knfa-gl-hmm-qlt-nonfinancialassetsmrfield-01.json?at=refs%2Ftags%2Fv18.3.3",KNFA,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-knfa/blob/15.1.0/hammurabi/confs/master/knfa/KNFA_non-financial-assets_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,C360-CS-0439,FINISHED,DELIVERED,,4Q21,,3.4-Checking the data value within the expected range (value within a range),,NO,,"El importe de la tasación debe ser mayor o igual a 0,01.",The amount of the appraisal must be greater than or equal to 0.01.,gf_gbl_cntr_appraisal_amount,,,,,,t_knfa_market_value,,,,,,,,,N/A,N/A,N/A,,,,,,,N/A,FALSE,,GL_DOM_t_knfa_market_value_3.4_000,NO CHANGES,,15.1.0,KNFA_market-value_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/knfa-gl-hmm-qlt-marketvaluemrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/knfa-gl-hmm-qlt-marketvaluemrfield-01.json?at=refs%2Ftags%2Fv18.3.3",KNFA,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-knfa/blob/15.1.0/hammurabi/confs/master/knfa/KNFA_market-value_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,C360-CS-0452,FINISHED,DELIVERED,,4Q21,,3.5-Checking the value of the data in the catalog (Value against catalog),,NO,,"Este campo debe tener alguno de los valores censados en su catálogo:
C245","This field must have one of the values ​​listed in your catalog:
C245",g_country_id,,,,,,t_knfa_market_value,,,,,,,,,N/A,C245,N/A,,,,,,,N/A,FALSE,,GL_DOM_t_knfa_market_value_3.5_000,NO CHANGES,,15.1.0,KNFA_market-value_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/knfa-gl-hmm-qlt-marketvaluemrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/knfa-gl-hmm-qlt-marketvaluemrfield-01.json?at=refs%2Ftags%2Fv18.3.3",KNFA,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-knfa/blob/15.1.0/hammurabi/confs/master/knfa/KNFA_market-value_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,C360-CS-0438,FINISHED,DELIVERED,,4Q21,,5.3-Comparison between different values ​​of data related to each other (data in the same object): Logical comparison between two fields or expresions are in the same object,,NO,,La fecha de tasación debe ser anterior a la fecha de corte de la tabla.,The appraisal date must be prior to the cutting date of the table.,gf_appraisal_date,,,,,,t_knfa_market_value,,,,,,,,,N/A,N/A,N/A,,,,,,,N/A,FALSE,,GL_DOM_t_knfa_market_value_5.3_000,NO CHANGES,,15.1.0,KNFA_market-value_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/knfa-gl-hmm-qlt-marketvaluemrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/knfa-gl-hmm-qlt-marketvaluemrfield-01.json?at=refs%2Ftags%2Fv18.3.3",KNFA,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-knfa/blob/15.1.0/hammurabi/confs/master/knfa/KNFA_market-value_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,C360-CS-0440,FINISHED,DELIVERED,,4Q21,,3.5-Checking the value of the data in the catalog (Value against catalog),,NO,,"Este campo debe tener alguno de los valores censados en su catálogo:
C245","This field must have one of the values ​​listed in your catalog:
C245",g_country_id,,,,,,t_knfa_home_center,,,,,,,,,N/A,C245,N/A,,,,,,,N/A,FALSE,,GL_DOM_t_knfa_home_center_3.5_000,NO CHANGES,,15.1.0,KNFA_home-center_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/knfa-gl-hmm-qlt-homecentermrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/knfa-gl-hmm-qlt-homecentermrfield-01.json?at=refs%2Ftags%2Fv18.3.3",KNFA,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-knfa/blob/15.1.0/hammurabi/confs/master/knfa/KNFA_home-center_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,C360-CS-0435,FINISHED,DELIVERED,,4Q21,,3.5-Checking the value of the data in the catalog (Value against catalog),,NO,,"Este campo debe tener alguno de los valores censados en su catálogo:
A188","This field must have one of the values ​​listed in your catalog:
A188",g_expense_type_id,,,,,,t_knfa_personalized_expenses,,,,,,,,,N/A,A188,N/A,,,,,,,N/A,FALSE,,GL_DOM_t_knfa_personalized_expenses_3.5_000,NO CHANGES,,15.1.0,KNFA_personalized-expenses_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/knfa-gl-hmm-qlt-personalizedexpensemrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/knfa-gl-hmm-qlt-personalizedexpensemrfield-01.json?at=refs%2Ftags%2Fv18.3.3",KNFA,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-knfa/blob/15.1.0/hammurabi/confs/master/knfa/KNFA_personalized-expenses_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,C360-CS-0441,FINISHED,DELIVERED,,4Q21,,3.5-Checking the value of the data in the catalog (Value against catalog),,NO,,"Este campo debe tener alguno de los valores censados en su catálogo:
C245","This field must have one of the values ​​listed in your catalog:
C245",g_country_id,,,,,,t_knfa_vehicles_favourites,,,,,,,,,N/A,C245,N/A,,,,,,,N/A,FALSE,,GL_DOM_t_knfa_vehicles_favourites_3.5_000,NO CHANGES,,15.1.0,KNFA_vehicles-favourites_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/knfa-gl-hmm-qlt-vehiclesfavouritesmrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/knfa-gl-hmm-qlt-vehiclesfavouritesmrfield-01.json?at=refs%2Ftags%2Fv18.3.3",KNFA,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-knfa/blob/15.1.0/hammurabi/confs/master/knfa/KNFA_vehicles-favourites_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,C360-CS-0442,FINISHED,DELIVERED,,4Q21,,3.5-Checking the value of the data in the catalog (Value against catalog),,NO,,"Este campo debe tener alguno de los valores censados en su catálogo:
C529","This field must have one of the values ​​listed in your catalog:
C529",g_person_role_type,,,,,,t_knfa_vehicles_favourites,,,,,,,,,N/A,C529,N/A,,,,,,,N/A,FALSE,,GL_DOM_t_knfa_vehicles_favourites_3.5_001,NO CHANGES,,15.1.0,KNFA_vehicles-favourites_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/knfa-gl-hmm-qlt-vehiclesfavouritesmrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/knfa-gl-hmm-qlt-vehiclesfavouritesmrfield-01.json?at=refs%2Ftags%2Fv18.3.3",KNFA,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-knfa/blob/15.1.0/hammurabi/confs/master/knfa/KNFA_vehicles-favourites_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,C360-CS-0443,FINISHED,DELIVERED,,4Q21,,3.5-Checking the value of the data in the catalog (Value against catalog),,NO,,"Este campo debe tener alguno de los valores censados en su catálogo:
C245","This field must have one of the values ​​listed in your catalog:
C245",g_country_id,,,,,,t_knfa_vehicles_center,,,,,,,,,N/A,C245,N/A,,,,,,,N/A,FALSE,,GL_DOM_t_knfa_vehicles_center_3.5_000,NO CHANGES,,15.1.0,KNFA_vehicles-center_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/knfa-gl-hmm-qlt-vehiclescentermrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/knfa-gl-hmm-qlt-vehiclescentermrfield-01.json?at=refs%2Ftags%2Fv18.3.3",KNFA,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-knfa/blob/15.1.0/hammurabi/confs/master/knfa/KNFA_vehicles-center_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,C360-CS-0444,FINISHED,DELIVERED,,4Q21,,3.5-Checking the value of the data in the catalog (Value against catalog),,NO,,"Este campo debe tener alguno de los valores censados en su catálogo:
C245","This field must have one of the values ​​listed in your catalog:
C245",g_country_id,,,,,,t_knfa_real_estate_favourites,,,,,,,,,N/A,C245,N/A,,,,,,,N/A,FALSE,,GL_DOM_t_knfa_real_estate_favourites_3.5_000,NO CHANGES,,15.1.0,KNFA_real-estate-favourites_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/knfa-gl-hmm-qlt-realestatefavouritemrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/knfa-gl-hmm-qlt-realestatefavouritemrfield-01.json?at=refs%2Ftags%2Fv18.3.3",KNFA,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-knfa/blob/15.1.0/hammurabi/confs/master/knfa/KNFA_real-estate-favourites_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,C360-CS-0445,FINISHED,DELIVERED,,4Q21,,3.5-Checking the value of the data in the catalog (Value against catalog),,NO,,"Este campo debe tener alguno de los valores censados en su catálogo:
C529","This field must have one of the values ​​listed in your catalog:
C529",g_person_role_type,,,,,,t_knfa_real_estate_favourites,,,,,,,,,N/A,C529,N/A,,,,,,,N/A,FALSE,,GL_DOM_t_knfa_real_estate_favourites_3.5_001,NO CHANGES,,15.1.0,KNFA_real-estate-favourites_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/knfa-gl-hmm-qlt-realestatefavouritemrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/knfa-gl-hmm-qlt-realestatefavouritemrfield-01.json?at=refs%2Ftags%2Fv18.3.3",KNFA,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-knfa/blob/15.1.0/hammurabi/confs/master/knfa/KNFA_real-estate-favourites_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,C360-CS-0446,FINISHED,DELIVERED,,4Q21,,3.5-Checking the value of the data in the catalog (Value against catalog),,NO,,"Este campo debe tener alguno de los valores censados en su catálogo:
C245","This field must have one of the values ​​listed in your catalog:
C245",g_country_id,,,,,,t_knfa_products_detail,,,,,,,,,N/A,C245,N/A,,,,,,,N/A,FALSE,,GL_DOM_t_knfa_products_detail_3.5_000,NO CHANGES,,15.1.0,KNFA_products-detail_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/knfa-gl-hmm-qlt-productsdetailmrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/knfa-gl-hmm-qlt-productsdetailmrfield-01.json?at=refs%2Ftags%2Fv18.3.3",KNFA,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-knfa/blob/15.1.0/hammurabi/confs/master/knfa/KNFA_products-detail_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,C360-CS-0447,FINISHED,DELIVERED,,4Q21,,3.5-Checking the value of the data in the catalog (Value against catalog),,NO,,"Este campo debe tener alguno de los valores censados en su catálogo:
C529","This field must have one of the values ​​listed in your catalog:
C529",g_person_role_type,,,,,,t_knfa_products_detail,,,,,,,,,N/A,C529,N/A,,,,,,,N/A,FALSE,,GL_DOM_t_knfa_products_detail_3.5_001,NO CHANGES,,15.1.0,KNFA_products-detail_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/knfa-gl-hmm-qlt-productsdetailmrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/knfa-gl-hmm-qlt-productsdetailmrfield-01.json?at=refs%2Ftags%2Fv18.3.3",KNFA,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-knfa/blob/15.1.0/hammurabi/confs/master/knfa/KNFA_products-detail_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,C360-CS-0448,FINISHED,DELIVERED,,4Q21,,3.5-Checking the value of the data in the catalog (Value against catalog),,NO,,"Este campo debe tener alguno de los valores censados en su catálogo:
C245","This field must have one of the values ​​listed in your catalog:
C245",g_country_id,,,,,,t_knfa_personalized_expenses,,,,,,,,,N/A,C245,N/A,,,,,,,N/A,FALSE,,GL_DOM_t_knfa_personalized_expenses_3.5_001,NO CHANGES,,15.1.0,KNFA_personalized-expenses_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/knfa-gl-hmm-qlt-personalizedexpensemrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/knfa-gl-hmm-qlt-personalizedexpensemrfield-01.json?at=refs%2Ftags%2Fv18.3.3",KNFA,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-knfa/blob/15.1.0/hammurabi/confs/master/knfa/KNFA_personalized-expenses_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,C360-CS-0449,FINISHED,DELIVERED,,4Q21,,3.5-Checking the value of the data in the catalog (Value against catalog),,NO,,"Este campo debe tener alguno de los valores censados en su catálogo:
C529","This field must have one of the values ​​listed in your catalog:
C529",g_person_role_type,,,,,,t_knfa_personalized_expenses,,,,,,,,,N/A,C529,N/A,,,,,,,N/A,FALSE,,GL_DOM_t_knfa_personalized_expenses_3.5_002,NO CHANGES,,15.1.0,KNFA_personalized-expenses_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/knfa-gl-hmm-qlt-personalizedexpensemrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/knfa-gl-hmm-qlt-personalizedexpensemrfield-01.json?at=refs%2Ftags%2Fv18.3.3",KNFA,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-knfa/blob/15.1.0/hammurabi/confs/master/knfa/KNFA_personalized-expenses_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,C360-CS-0494,FINISHED,DELIVERED,,4Q21,,4.3-Reconciliation of the same data between different tables / repositories at the same moment of time (accounting reconciliation / referential integrity),,NO,,Toda branch de la tabla de leads debe estar en la tabla de oficinas (t_kcog_branch),Any branch of the Leads table must be at the office table (T_KCog_Branch),g_branch_id,,,,,,t_nm7r_lead,,,t_kcog_branch,g_branch_id,,,,,N/A,N/A,N/A,,,,,,,N/A,FALSE,,GL_DOM_t_nm7r_lead_4.3_000,NO CHANGES,,15.1.0,NM7R_lead_KCOG_branch_MMRule.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_NM7R_APP-ID-76889_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/nm7r-gl-hmm-qlt-leadmmrule-03.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_NM7R_APP-ID-76889_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/nm7r-gl-hmm-qlt-leadmmrule-03.json?at=refs%2Ftags%2Fv18.3.3",NM7R,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-nm7r/blob/15.1.0/hammurabi/confs/master/nm7r/NM7R_lead_KCOG_branch_MMRule.conf,,06/11/2024,Stock,
Local,,,,,,,,,N/A,FINISHED,DELIVERED,,4Q21,,3.1-Checking the null data value (NULL or empty value),,YES,,"El campo g_country_id
 de la tabla t_katc_attributes_dp
 debe estar informado","The 
 field g_country_id from the object t_katc_attributes_dp
 must be informed",g_country_id,,,,,,t_katc_attributes_dp,,,,,,,,,N/A,N/A,N/A,,,,,,,N/A,TRUE,,GL_MVP_t_katc_attributes_dp_3.1_000,NO CHANGES,,15.1.0,KATC_attributes-dp_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KATC_APP-ID-24547_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/katc-gl-hmm-qlt-attributesdpmrfield-01.json?at=refs%2Ftags%2Fv18.4.4
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KATC_APP-ID-24547_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/katc-gl-hmm-qlt-attributesdpmrfield-01.json?at=refs%2Ftags%2Fv18.4.4",KATC,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-katc/blob/15.1.0/hammurabi/confs/master/katc/KATC_attributes-dp_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,MVP REGULARIZACION,FINISHED,DELIVERED,,4Q25,,4.3-Reconciliation of the same data between different tables / repositories at the same moment of time (accounting reconciliation / referential integrity),,NO,,Todo g_country_id de la tabla t_knfa_energy_certifications tiene que estar en la tabla t_kcog_country,Every g_country_id from the t_knfa_energy_certifications table must be in the t_kcog_country table,g_country_id,,,,,,t_knfa_energy_certifications,,,t_kcog_country,g_country_id,,,,,N/A,N/A,N/A,,,,,,,N/A,FALSE,,290019db6d,NEW,,18.3.3,KNFA_energy-certifications_KCOG_country_MMRule.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/knfa-gl-hmm-qlt-energycertificationmmrule-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KNFA_APP-ID-25589_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/knfa-gl-hmm-qlt-energycertificationmmrule-01.json?at=refs%2Ftags%2Fv18.3.3",KNFA,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-knfa/blob/18.3.3/hammurabi/confs/master/knfa/KNFA_energy-certifications_KCOG_country_MMRule.conf,,04/11/2025,Stock,
Local,,,,,,,,,N/A,FINISHED,DELIVERED,,4Q21,,3.1-Checking the null data value (NULL or empty value),,YES,,"El campo gf_entity_id
 de la tabla t_katc_attributes_dp
 debe estar informado","The 
 field gf_entity_id from the object t_katc_attributes_dp
 must be informed",gf_entity_id,,,,,,t_katc_attributes_dp,,,,,,,,,N/A,N/A,N/A,,,,,,,N/A,TRUE,,GL_MVP_t_katc_attributes_dp_3.1_002,NO CHANGES,,15.1.0,KATC_attributes-dp_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KATC_APP-ID-24547_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/katc-gl-hmm-qlt-attributesdpmrfield-01.json?at=refs%2Ftags%2Fv18.4.4
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KATC_APP-ID-24547_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/katc-gl-hmm-qlt-attributesdpmrfield-01.json?at=refs%2Ftags%2Fv18.4.4",KATC,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-katc/blob/15.1.0/hammurabi/confs/master/katc/KATC_attributes-dp_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,N/A,FINISHED,DELIVERED,,4Q21,,3.1-Checking the null data value (NULL or empty value),,YES,,"El campo g_customer_id
 de la tabla t_katc_attributes_dp
 debe estar informado","The 
 field g_customer_id from the object t_katc_attributes_dp
 must be informed",g_customer_id,,,,,,t_katc_attributes_dp,,,,,,,,,N/A,N/A,N/A,,,,,,,N/A,TRUE,,GL_MVP_t_katc_attributes_dp_3.1_003,NO CHANGES,,15.1.0,KATC_attributes-dp_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KATC_APP-ID-24547_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/katc-gl-hmm-qlt-attributesdpmrfield-01.json?at=refs%2Ftags%2Fv18.4.4
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KATC_APP-ID-24547_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/katc-gl-hmm-qlt-attributesdpmrfield-01.json?at=refs%2Ftags%2Fv18.4.4",KATC,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-katc/blob/15.1.0/hammurabi/confs/master/katc/KATC_attributes-dp_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,N/A,FINISHED,DELIVERED,,4Q21,,3.1-Checking the null data value (NULL or empty value),,YES,,"El campo g_currency_id
 de la tabla t_katc_attributes_dp
 debe estar informado","The 
 field g_currency_id from the object t_katc_attributes_dp
 must be informed",g_currency_id,,,,,,t_katc_attributes_dp,,,,,,,,,N/A,N/A,N/A,,,,,,,N/A,TRUE,,GL_MVP_t_katc_attributes_dp_3.1_004,NO CHANGES,,15.1.0,KATC_attributes-dp_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KATC_APP-ID-24547_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/katc-gl-hmm-qlt-attributesdpmrfield-01.json?at=refs%2Ftags%2Fv18.4.4
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KATC_APP-ID-24547_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/katc-gl-hmm-qlt-attributesdpmrfield-01.json?at=refs%2Ftags%2Fv18.4.4",KATC,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-katc/blob/15.1.0/hammurabi/confs/master/katc/KATC_attributes-dp_MRField.conf,,06/11/2024,Stock,
