ids;naming_set;tablas;subset;datavaluespath;values;datavaluescolumn;datavaluessubset;ID RULE;CATALOG (TAXONOMY/STATIC) (3.5-6.1-6.10);Frequency of measurement;Subset;DEFINITION PERIOD;PUBLICATION DATE;STATUS DEVELOPMENT;STATUS IMPLANTATION;Parameters
GL_DOM_t_kfcm_nps_sv_respondent_smes_3.5_003;{'gf_rsp_co_prdt_decsn_ind_type'};t_kfcm_nps_sv_respondent_smes;gf_rsp_co_prdt_decsn_ind_type  is not null and gf_rsp_co_prdt_decsn_ind_type != '';;['Y', 'N'];;;GL_DOM_t_kfcm_nps_sv_respondent_smes_3.5_003;Y/N;Daily;Cuando gf_rsp_co_prdt_decsn_ind_type es distinto de Null y vacio;4Q22;Ene_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_kfcm_nps_sv_respondent_smes_3.5_004;{'gf_rsp_co_bnkng_trans_ind_type'};t_kfcm_nps_sv_respondent_smes;gf_rsp_co_bnkng_trans_ind_type  is not null and gf_rsp_co_bnkng_trans_ind_type != '';;['Y', 'N'];;;GL_DOM_t_kfcm_nps_sv_respondent_smes_3.5_004;Y/N;Daily;Cuando gf_rsp_co_bnkng_trans_ind_type es distinto de Null y vacio;4Q22;Ene_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_kfcm_nps_sv_respondent_smes_3.5_005;{'gf_rsp_co_ent_coord_ind_type'};t_kfcm_nps_sv_respondent_smes;;;['Y', 'N'];;;GL_DOM_t_kfcm_nps_sv_respondent_smes_3.5_005;Y/N;Daily;;4Q22;Ene_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27abb6521f;{'g_center_visibility_ind_type'};t_knfa_products_detail;g_center_visibility_ind_type  is not null and g_center_visibility_ind_type != '' ;;['Y', 'N'];;;27abb6521f;Y/N;Daily;Si g_center_visibility_ind_type no es nulo ni vacío;1Q24;Abr_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
2849692e61;{'g_completed_form_ind_type'};t_kpan_d_c_form_opportunity;;;['Y', 'N'];;;2849692e61;Y/N;Daily;;3Q24;Nov_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27dd4563e3;{'gf_internal_contact_center_type'};t_kpan_home_partner_oppy;;;['Y', 'N'];;;27dd4563e3;Y/N;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
2803fd2164;{'gf_oppy_auto_snctn_ind_type'};t_kpan_mgr_comm_opportunity;gf_oppy_auto_snctn_ind_type is not null and gf_oppy_auto_snctn_ind_type != '';;['Y', 'N'];;;2803fd2164;Y/N;Daily;Distinto de null o vacío;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
2803fd236f;{'gf_opportunity_tr_ind_type'};t_kpan_mgr_comm_opportunity;gf_opportunity_tr_ind_type is not null and gf_opportunity_tr_ind_type != '';;['Y', 'N'];;;2803fd236f;Y/N;Daily;Distinto de null o vacío;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27dd456765;{'gf_oss_vehicles_ind_type'};t_kpan_mobility_partner_oppy;;;['Y', 'N'];;;27dd456765;Y/N;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27dd4567de;{'gf_non_viable_fincg_ind_type'};t_kpan_mobility_partner_oppy;;;['Y', 'N'];;;27dd4567de;Y/N;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27dd456856;{'gf_test_drive_ind_type'};t_kpan_mobility_partner_oppy;;;['Y', 'N'];;;27dd456856;Y/N;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27dd4569a4;{'gf_dealership_assignment_ind_type'};t_kpan_mobility_partner_oppy;;;['Y', 'N'];;;27dd4569a4;Y/N;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27dd456a17;{'gf_npymt_risk_filters_inquiry_ind_type'};t_kpan_mobility_partner_oppy;;;['Y', 'N'];;;27dd456a17;Y/N;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27dd456a83;{'gf_reservation_made_ind_type'};t_kpan_mobility_partner_oppy;;;['Y', 'N'];;;27dd456a83;Y/N;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27dd456b05;{'gf_available_vehicle_ind_type'};t_kpan_mobility_partner_oppy;;;['Y', 'N'];;;27dd456b05;Y/N;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
28496932f5;{'g_sust_report_ind_type'};t_kstb_sustnbl_cust_grp_board;;;['Y', 'N'];;;28496932f5;Y/N;Monthly;;3Q24;Nov_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
28496933b1;{'g_tcfd_reporter_ind_type'};t_kstb_sustnbl_cust_grp_board;;;['Y', 'N'];;;28496933b1;Y/N;Monthly;;3Q24;Nov_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
2849693478;{'g_tcfd_supporter_ind_type'};t_kstb_sustnbl_cust_grp_board;;;['Y', 'N'];;;2849693478;Y/N;Monthly;;3Q24;Nov_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
2849693538;{'g_emissions_scope_1_2_reported_ind_type'};t_kstb_sustnbl_cust_grp_board;;;['Y', 'N'];;;2849693538;Y/N;Monthly;;3Q24;Nov_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
28496936a0;{'g_emissions_scope_3_reported_ind_type'};t_kstb_sustnbl_cust_grp_board;;;['Y', 'N'];;;28496936a0;Y/N;Monthly;;3Q24;Nov_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_kszg_queue_controller_3.5_005;{'g_geco_fwd_oth_post_ind_type'};t_kszg_queue_controller;g_geco_fwd_oth_post_ind_type is not null and g_geco_fwd_oth_post_ind_type != '';;['Y', 'N'];;;GL_DOM_t_kszg_queue_controller_3.5_005;Y/N;Daily;Cuando g_geco_fwd_oth_post_ind_type sea distinto de NULL y vacío;1Q23;Mar_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_kszg_queue_controller_3.5_006;{'g_geco_tkt_branch_att_ind_type'};t_kszg_queue_controller;g_geco_tkt_branch_att_ind_type is not null and g_geco_tkt_branch_att_ind_type != '';;['Y', 'N'];;;GL_DOM_t_kszg_queue_controller_3.5_006;Y/N;Daily;Cuando g_geco_tkt_branch_att_ind_type sea distinto de NULL y vacío;1Q23;Mar_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_kwth_price_factor_3.5_000;{'gf_household_ind_type'};t_kwth_price_factor;;;['Y', 'N', '1', '0'];;;GL_DOM_t_kwth_price_factor_3.5_000;Y/N/0/1;Monthly;;3Q22;Oct_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
2848d7ccd8;{'gf_bus_group_company_ind_type'};t_l9ct_gp_cust_ext_data_comp;;;['Y', 'N'];;;2848d7ccd8;Y/N;Monthly;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
282f87a1e3;{'g_green_bond_ind_type'};t_l9ct_green_bonds_secty_flag;g_green_bond_ind_type is not null;;['Y', 'N'];;;282f87a1e3;Y/N;Daily;No debe aplicarse cuando el campo sea nulo.;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
282f87a2ed;{'g_eu_taxo_green_bond_ind_type'};t_l9ct_green_bonds_secty_flag;g_eu_taxo_green_bond_ind_type is not null;;['Y', 'N'];;;282f87a2ed;Y/N;Daily;No debe aplicarse cuando el campo sea nulo.;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
282f87a42e;{'g_icma_stds_green_bnd_ind_type'};t_l9ct_green_bonds_secty_flag;g_icma_stds_green_bnd_ind_type is not null;;['Y', 'N'];;;282f87a42e;Y/N;Daily;No debe aplicarse cuando el campo sea nulo.;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_nm7r_lead_3.5_005;{'gf_lead_sustnblty_ind_type'};t_nm7r_lead;;;['Y', 'N'];;;GL_DOM_t_nm7r_lead_3.5_005;Y/N;Monthly;;3Q21;Oct_2021;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_nols_external_funds_3.5_003;{'g_ext_fnd_pias_meas_ind_type'};t_nols_external_funds;;;['Y', 'N'];;;GL_DOM_t_nols_external_funds_3.5_003;Y/N;Daily;;4Q22;Ene_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_nols_internal_funds_3.5_008;{'gf_fund_var_ind_type'};t_nols_internal_funds;;;['Y', 'N'];;;GL_DOM_t_nols_internal_funds_3.5_008;Y/N;Daily;;2Q22;Jul_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_nols_internal_funds_3.5_009;{'g_fnd_pias_mesure_ind_type'};t_nols_internal_funds;;;['Y', 'N'];;;GL_DOM_t_nols_internal_funds_3.5_009;Y/N;Daily;;2Q22;Jul_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_nols_internal_funds_3.5_010;{'gf_fund_class_parent_ind_type'};t_nols_internal_funds;;;['Y', 'N'];;;GL_DOM_t_nols_internal_funds_3.5_010;Y/N;Daily;;2Q22;Jul_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27993d1dea;{'g_fund_env_mae_ind_type'};t_nols_internal_funds;g_fund_env_mae_ind_type  is not null and g_fund_env_mae_ind_type  != '';;['Y', 'N'];;;27993d1dea;Y/N;Monthly;Distinto de Null o vacío;4Q23;Ene_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27993d1e37;{'g_fund_social_mae_ind_type'};t_nols_internal_funds;g_fund_social_mae_ind_type  is not null and g_fund_social_mae_ind_type  != '';;['Y', 'N'];;;27993d1e37;Y/N;Monthly;Distinto de Null o vacío;4Q23;Ene_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27993d1e8e;{'g_fund_governance_mae_ind_type'};t_nols_internal_funds;g_fund_governance_mae_ind_type  is not null and g_fund_governance_mae_ind_type  != '';;['Y', 'N'];;;27993d1e8e;Y/N;Monthly;Distinto de Null o vacío;4Q23;Ene_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27993d1ede;{'g_sustainable_fund_ind_type'};t_nols_internal_funds;g_sustainable_fund_ind_type  is not null and g_sustainable_fund_ind_type  != '';;['Y', 'N'];;;27993d1ede;Y/N;Monthly;Distinto de Null o vacío;4Q23;Ene_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
2836f191bc;{'g_music_on_hold_ind_type'};t_p68x_queue_hierarchy;g_music_on_hold_ind_type is not null and g_music_on_hold_ind_type != '';;['Y', 'N'];;;2836f191bc;Y/N;Daily;Distinto de null o vacío;3Q24;Nov_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27b91e7dd0;{'g_agent_interaction_ind_type'};t_re4m_interaction_call;g_agent_interaction_ind_type is not null and g_agent_interaction_ind_type != '';;['Y', 'N'];;;27b91e7dd0;Y/N;Daily;Distinto de Null o vacío;1Q24;Abr_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27b91e7e9e;{'g_intent_detection_ind_type'};t_re4m_interaction_call;g_intent_detection_ind_type is not null and g_intent_detection_ind_type != '';;['Y', 'N'];;;27b91e7e9e;Y/N;Daily;Distinto de Null o vacío;1Q24;Abr_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27b91e7ef0;{'g_open_question_ind_type'};t_re4m_interaction_call;g_open_question_ind_type is not null and g_open_question_ind_type != '';;['Y', 'N'];;;27b91e7ef0;Y/N;Daily;Distinto de Null o vacío;1Q24;Abr_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27b91e7f43;{'g_tree_dtctn_ind_type'};t_re4m_interaction_call;g_tree_dtctn_ind_type is not null and g_tree_dtctn_ind_type != '';;['Y', 'N'];;;27b91e7f43;Y/N;Daily;Distinto de Null o vacío;1Q24;Abr_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_re4m_junction_interaction_3.5_001;{'g_sale_opportunity_ind_type'};t_re4m_junction_interaction;g_sale_opportunity_ind_type is not null and g_sale_opportunity_ind_type != '';;['0', '1'];;;GL_DOM_t_re4m_junction_interaction_3.5_001;0/1;Daily;Distinto de Null o vacío;1Q23;Mar_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27a70f89c9;{'gf_msg_logical_del_ind_type'};t_re4m_physical_interaction_acti;gf_msg_logical_del_ind_type is not null and gf_msg_logical_del_ind_type != '';;['Y', 'N'];;;27a70f89c9;Y/N;Daily;Distinto de Null o vacío;4Q23;Ene_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27a70f8a28;{'gf_cust_msg_draft_ind_type'};t_re4m_physical_interaction_acti;gf_cust_msg_draft_ind_type is not null and gf_cust_msg_draft_ind_type != '';;['Y', 'N'];;;27a70f8a28;Y/N;Daily;Distinto de Null o vacío;4Q23;Ene_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27a70f86ba;{'gf_sent_act_ind_type'};t_re4m_physical_interaction;gf_sent_act_ind_type is not null and gf_sent_act_ind_type != '';;['Y', 'N'];;;27a70f86ba;Y/N;Daily;Distinto de Null o vacío;4Q23;Ene_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27a70f8746;{'gf_convr_atch_files_ind_type'};t_re4m_physical_interaction;gf_convr_atch_files_ind_type is not null and gf_convr_atch_files_ind_type != '';;['Y', 'N'];;;27a70f8746;Y/N;Daily;Distinto de Null o vacío;4Q23;Ene_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27a70f87d4;{'gf_convr_logical_del_ind_type'};t_re4m_physical_interaction;gf_convr_logical_del_ind_type is not null and gf_convr_logical_del_ind_type != '';;['Y', 'N'];;;27a70f87d4;Y/N;Daily;Distinto de Null o vacío;4Q23;Ene_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27a70f8824;{'gf_convr_cust_draft_ind_type'};t_re4m_physical_interaction;gf_convr_cust_draft_ind_type is not null and gf_convr_cust_draft_ind_type != '';;['Y', 'N'];;;27a70f8824;Y/N;Daily;Distinto de Null o vacío;4Q23;Ene_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27a70f8877;{'gf_convr_certified_ind_type'};t_re4m_physical_interaction;gf_convr_certified_ind_type is not null and gf_convr_certified_ind_type != '';;['Y', 'N'];;;27a70f8877;Y/N;Daily;Distinto de Null o vacío;4Q23;Ene_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27a70f88e6;{'gf_contact_center_ind_type'};t_re4m_physical_interaction;gf_contact_center_ind_type is not null and gf_contact_center_ind_type != '';;['Y', 'N'];;;27a70f88e6;Y/N;Daily;Distinto de Null o vacío;4Q23;Ene_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27a70f8976;{'gf_conv_ai_auto_rsln_ind_type'};t_re4m_physical_interaction;gf_conv_ai_auto_rsln_ind_type is not null and gf_conv_ai_auto_rsln_ind_type != '';;['Y', 'N'];;;27a70f8976;Y/N;Daily;Distinto de Null o vacío;4Q23;Ene_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27b91e8041;{'gf_draft_msg_cust_conv_ind_type'};t_re4m_physical_interaction;gf_draft_msg_cust_conv_ind_type  is not null and gf_draft_msg_cust_conv_ind_type != '' ;;['Y', 'N'];;;27b91e8041;Y/N;Daily;Distinto de Null o vacío;1Q24;Abr_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27b91e809c;{'gf_draft_msg_mngr_conv_ind_type'};t_re4m_physical_interaction;gf_draft_msg_mngr_conv_ind_type  is not null and gf_draft_msg_mngr_conv_ind_type != '' ;;['Y', 'N'];;;27b91e809c;Y/N;Daily;Distinto de Null o vacío;1Q24;Abr_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27b91e7c3f;{'g_int_ppal_typ_ind_type'};t_re4m_typification_interaction;g_int_ppal_typ_ind_type is not null and g_int_ppal_typ_ind_type != '';;['Y', 'N'];;;27b91e7c3f;Y/N;Daily;Distinto de Null o vacío;1Q24;Abr_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27b91e7cd5;{'g_typification_rslv_ind_type'};t_re4m_typification_interaction;g_typification_rslv_ind_type is not null and g_typification_rslv_ind_type != '';;['Y', 'N'];;;27b91e7cd5;Y/N;Daily;Distinto de Null o vacío;1Q24;Abr_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_rzua_sust_collaterals_3.5_001;{'g_sust_clt_operation_ind_type'};t_rzua_sust_collaterals;;;['Y', 'N'];;;GL_DOM_t_rzua_sust_collaterals_3.5_001;Y/N;Monthly;;2Q23;Jul_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_tdi3_campaign_3.5_004;{'g_campaign_always_on_ind_type'};t_tdi3_campaign;g_campaign_always_on_ind_type is not null and g_campaign_always_on_ind_type != '';;['Y', 'N'];;;GL_DOM_t_tdi3_campaign_3.5_004;Y/N;Daily;Cuando g_campaign_always_on_ind_type sea distinto de NULL y vacío;1Q23;Mar_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_tdi3_communication_3.5_011;{'g_cmun_always_on_ind_type'};t_tdi3_communication;g_cmun_always_on_ind_type != '' and g_cmun_always_on_ind_type is not null;;['Y', 'N', '1', '0'];;;GL_DOM_t_tdi3_communication_3.5_011;Y/N/1/0;Daily;Distinto de Null o vacío;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
